ID,COUNTRY_NAME,ISO2,SITE_NAME,LATITUDE,LONGITUDE,VECTOR_SPECIES_COMPLEX,VECTOR_SPECIES,STAGE,YEAR_START,MONTH_START,YEAR_END,MONTH_END,SAMPLING_METHOD,MOSQUITO_NUMBER,BREEDING_HABITAT,ID_METHOD,CITATION,CITATION_URL,DATA_CURATOR,INVASIVE_STATUS,ADMIN1
21,Myanmar,MM,Wetwun village,22.084000,96.601000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
22,Myanmar,MM,Moeswe village,19.706000,96.237000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
23,Myanmar,MM,Aungthukha,19.706000,96.237000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
24,Myanmar,MM,Foothill area,22.188000,96.751000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
25,Myanmar,MM,Indaingtha village,20.933300,96.199000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
26,Myanmar,MM,Kinywa-indaing,20.435000,96.316000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
27,Myanmar,MM,Chinsu village,19.651000,96.152000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
28,Myanmar,MM,Khamaya (368),23.649000,94.399000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
29,Myanmar,MM,Boke-kann,24.214000,94.312000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
30,Myanmar,MM,Monywa Town,22.109000,95.138000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
31,Myanmar,MM,Bonchaung village,24.050000,95.983300,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
32,Myanmar,MM,Nabar village,24.211000,96.144000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
33,Myanmar,MM,Katha Town,24.209000,96.436000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
34,Myanmar,MM,Shwebo Town,22.566700,95.699000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
35,Myanmar,MM,Ywathitgyi village,20.417000,94.732000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
36,Myanmar,MM,Mingyan village,20.916700,94.433300,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
37,Myanmar,MM,Yinkekaung,21.202000,94.146000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
38,Myanmar,MM,Khaungtone,22.167000,94.168000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
39,Myanmar,MM,Kamontaung,20.007000,95.540000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
40,Myanmar,MM,Khinkaung,20.355000,95.372000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
41,Myanmar,MM,Yeayetaing,20.223000,95.465000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
42,Myanmar,MM,Tegyigone,20.166000,94.933000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
43,Myanmar,MM,Zitaw village,21.684000,95.166000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
44,Myanmar,MM,Mogaung,19.418000,95.232000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
45,Myanmar,MM,Ywathit village,19.350000,95.126000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
46,Myanmar,MM,Gyopin village,19.045000,95.071000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
47,Myanmar,MM,Thanatwa,20.319000,94.583000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
48,Myanmar,MM,Minbu Town,20.175000,94.880000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
49,Myanmar,MM,Linzin village,20.561000,94.663000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
50,Myanmar,MM,Sedoktaya Town,20.451000,94.250000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
51,Myanmar,MM,Padan village,20.083300,94.315000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
52,Myanmar,MM,Taungpyo Town,21.178000,92.196000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
53,Myanmar,MM,10th miles,20.817000,92.367000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
54,Myanmar,MM,Minbya Town,20.366700,93.266700,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
55,Myanmar,MM,Loilem Town,20.584000,97.415000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
56,Myanmar,MM,Kengtung Town,21.290000,99.609000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
57,Myanmar,MM,Nanpandit village,20.751000,96.482000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
58,Myanmar,MM,Yebu village,20.806000,97.040000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
59,Myanmar,MM,Mawphaung,25.319000,97.281000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
60,Myanmar,MM,Aungthapye,24.757000,96.331000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
61,Myanmar,MM,Panunchaung,22.933000,93.655000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
62,Myanmar,MM,Thandaung Town,19.066700,96.683300,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
